address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Tellstrasse 26, 3014 Bern",,46.9622983,7.4597325,4001981830,4.5,124m²,14,1,75,1,5,1,2,1,17,1,10,1,0,0,6,1,0,0,0,0,5,1,1,1,10,1,0,0,21,1,166
"Grabenwies 20, 8057 Zürich",,47.40234495,8.537503571428573,4001980219,4.5,124m²,23,1,89,1,12,1,2,1,39,1,10,1,2,1,6,1,0,0,3,1,13,1,8,1,17,1,0,0,30,1,254
"Theaterstrasse 13, 6003 Luzern",,47.04987255,8.307012053641147,4001978464,4.5,124m²,56,1,199,1,53,1,16,1,42,1,10,1,2,1,3,1,0,0,3,1,8,1,15,1,21,1,1,1,75,1,504
"Marktplatz 14, 9000 St. Gallen",,47.426303,9.375243,4001976822,4.5,124m²,40,1,127,1,47,1,6,1,23,1,11,1,0,0,10,1,0,0,4,1,6,1,14,1,22,1,1,1,37,1,348
"Seemoosholzstrasse 20, 9320 Arbon",,47.5208443,9.423905756152205,4001976806,4.5,124m²,2,1,17,1,8,1,2,1,5,1,0,0,0,0,1,1,0,0,0,0,2,1,2,1,4,1,1,1,30,1,74
"Rue du Chêne 5, 1020 Renens",,46.5307907,6.5906664,4001974662,4.5,124m²,12,1,58,1,9,1,3,1,25,1,2,1,3,1,9,1,0,0,1,1,11,1,9,1,5,1,0,0,20,1,167
"Rue du Chêne 5, 1020 Renens",,46.5307907,6.5906664,4001974661,4.5,124m²,12,1,58,1,9,1,3,1,25,1,2,1,3,1,9,1,0,0,1,1,11,1,9,1,5,1,0,0,20,1,167
"Rue du Chêne 5, 1020 Renens",,46.5307907,6.5906664,4001974660,4.5,124m²,12,1,58,1,9,1,3,1,25,1,2,1,3,1,9,1,0,0,1,1,11,1,9,1,5,1,0,0,20,1,167
"Rue du Chêne 5, 1020 Renens",,46.5307907,6.5906664,4001974657,4.5,124m²,12,1,58,1,9,1,3,1,25,1,2,1,3,1,9,1,0,0,1,1,11,1,9,1,5,1,0,0,20,1,167
"Säntisstrasse, 9542 Münchwilen TG",,47.47440185249841,8.988025897811523,4001972101,4.5,124m²,1,1,8,1,3,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,0,0,7,1,28
"Nüchternweg 12, 3038 Kirchlindach",,47.0003111,7.4114947,4001971322,4.5,124m²,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5
"Murtenstrasse 143 D, 3008 Bern",,46.9484633,7.4099937,4001970764,4.5,124m²,10,1,50,1,3,1,0,0,19,1,0,0,9,1,5,1,1,1,5,1,6,1,1,1,4,1,0,0,18,1,131
"Bühlstr. 4, 8954 Geroldswil",,47.42655245,8.411607736932847,4001966848,4.5,124m²,0,0,4,1,0,0,2,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,2,1,0,0,3,1,14
"Erikastrasse 1, 4057 Basel",,47.5715692,7.5910111,4001958798,4.5,124m²,47,1,165,1,51,1,14,1,50,1,3,1,1,1,5,1,0,0,0,0,22,1,8,1,22,1,0,0,12,1,400
"Hinterdorfstrasse 27, 8157 Dielsdorf",,47.4846367,8.4556048,4001958714,4.5,124m²,4,1,15,1,2,1,0,0,3,1,1,1,0,0,1,1,1,1,0,0,2,1,2,1,5,1,0,0,2,1,38
"Untere Bühlenstrasse, 8708 Männedorf",,47.259433601353514,8.685129579773593,4001954405,4.5,124m²,7,1,10,1,2,1,0,0,3,1,1,1,0,0,2,1,1,1,0,0,3,1,3,1,4,1,0,0,9,1,45
"Avenue De France 22, 1004 Lausanne",,46.5249493,6.6233321,4001953666,5.5,150m²,57,1,239,1,44,1,38,1,93,1,10,1,4,1,14,1,0,0,3,1,31,1,17,1,34,1,2,1,34,1,620
"Baselmattweg 87, 4123 Allschwil",,47.5553292,7.549207,4001943629,5.5,150m²,10,1,19,1,1,1,0,0,3,1,2,1,0,0,3,1,0,0,0,0,8,1,3,1,6,1,0,0,7,1,62
"Obere Schöntalstrasse 48, 8406 Winterthur",,47.4952892,8.7105785,4001939095,5.5,150m²,22,1,90,1,15,1,21,1,32,1,12,1,0,0,2,1,0,0,3,1,8,1,8,1,20,1,0,0,52,1,285
"Felsenaustrasse 13, 8704 Herrliberg",,47.28965035,8.607884033005254,4001933501,5.5,150m²,0,0,3,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,9
"Überlandstrasse 198, 8600 Dübendorf",,47.395456800000005,8.640347440101344,4001928257,5.5,150m²,3,1,13,1,1,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,27,1,53
