price,area,food_beverage_present,education_present,healthcare_present,financial_services_present,transportation_present
3920,122.0,2,0,0,0,0
3920,122.0,2,1,0,1,0
3920,122.0,3,1,0,0,0
3920,122.0,1,0,0,0,0
3920,122.0,1,0,0,1,0
3850,140.0,2,1,0,0,0
3850,140.0,1,0,0,1,1
3850,140.0,1,0,0,0,0
3850,140.0,1,0,0,0,0
3850,140.0,1,0,0,0,1
3850,140.0,2,0,0,0,0
3850,140.0,0,0,2,0,1
3850,140.0,1,0,0,1,0
3850,140.0,1,0,0,0,0
3850,140.0,1,0,0,0,0
3850,140.0,1,0,0,0,0
3850,140.0,2,1,1,0,0
3850,140.0,2,0,0,0,0
5810,121.0,2,0,0,0,0
5810,121.0,0,1,0,0,1
5810,121.0,1,0,0,0,0
5810,121.0,0,0,0,1,0
5810,121.0,0,0,0,1,0
5810,121.0,1,0,0,0,0
5810,121.0,3,0,0,0,0
5810,121.0,2,0,0,0,0
6270,150.0,2,0,0,0,0
6270,150.0,1,0,0,1,0
6270,150.0,2,0,0,0,0
6270,150.0,1,0,0,0,0
6270,150.0,0,0,0,2,0
6270,150.0,1,0,0,0,1
6270,150.0,1,0,0,0,0
6270,150.0,1,0,1,2,1
6270,150.0,1,0,0,0,0
6270,150.0,1,1,0,0,0
6270,150.0,1,0,0,0,1
6270,150.0,1,0,0,0,0
6270,150.0,0,0,0,1,0
3770,150.0,1,2,0,0,0
3770,150.0,1,0,0,0,1
3770,150.0,1,0,1,0,0
3770,150.0,1,0,0,0,0
3770,150.0,5,0,1,2,0
3770,150.0,1,0,0,1,1
3770,150.0,1,0,0,0,0
3770,150.0,2,0,1,1,0
3770,150.0,3,2,2,1,0
3770,150.0,0,0,1,2,0
1440,51.0,0,0,1,0,1
1440,51.0,1,1,0,2,1
1440,51.0,4,2,2,2,1
1440,51.0,2,0,0,0,0
1440,51.0,2,0,0,0,1
1440,51.0,0,0,0,0,1
1440,51.0,1,0,0,0,1
1440,51.0,1,0,0,0,1
1440,51.0,1,0,1,0,1
1440,51.0,1,0,0,0,0
1440,51.0,1,0,0,0,0
1440,51.0,1,0,0,0,0
1440,51.0,3,0,0,0,1
2550,69.0,3,0,1,0,0
2550,69.0,1,0,0,0,0
2550,69.0,1,0,0,1,0
2550,69.0,1,0,0,0,0
2550,69.0,0,0,0,0,1
2550,69.0,1,1,0,0,1
2550,69.0,2,0,1,0,0
2550,69.0,2,0,1,0,1
2550,69.0,0,0,0,0,1
4550,220.0,1,0,0,0,0
4550,220.0,2,0,1,2,0
4550,220.0,1,0,0,0,0
4550,220.0,1,0,1,1,0
4550,220.0,4,0,0,0,1
4550,220.0,1,0,0,0,0
4550,220.0,3,0,1,2,1
4550,220.0,3,0,0,0,0
4550,220.0,2,1,0,0,1
4550,220.0,0,0,0,0,1
