address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Passage Perdonnet 1, 1005 Lausanne",2750,46.520913,6.640209787160385,4001963201,2.5,33.0,18,1,99,1,18,1,15,1,21,1,1,1,1,1,8,1,0,0,0,0,8,1,8,1,12,1,0,0,8,1,217
"Rotwandstrasse 66, 8004 Zürich",2750,47.3758876,8.5294158,4001961027,2.5,33.0,42,1,190,1,95,1,21,1,64,1,5,1,0,0,4,1,0,0,3,1,12,1,3,1,13,1,0,0,17,1,469
"Kapfstrasse 31, 8032 Zürich",2750,47.36278985,8.570155449194985,4001960413,2.5,33.0,8,1,14,1,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,4,1,2,1,2,1,0,0,2,1,36
"Wallenrütistrasse 16, 8234 Stetten SH",2750,47.73463605,8.656805457356477,4001889258,2.5,33.0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8
"Hinterbergstrasse 106, 8044 Zürich",2750,47.38514105,8.559907746084386,4001869489,2.5,33.0,1,1,3,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,4,1,14
"Spindelstrasse 9, 8041 Zürich",2750,47.33939796163503,8.518220321786435,4001765417,2.5,33.0,2,1,6,1,1,1,2,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,2,1,18
"Kreuzstrasse 3a, 3052 Zollikofen",2750,46.99624139998621,7.46113435005046,4001731221,2.5,33.0,2,1,10,1,1,1,0,0,5,1,0,0,0,0,2,1,0,0,0,0,2,1,3,1,6,1,0,0,13,1,44
"Kreuzstrasse 5, 3052 Zollikofen",2750,46.99713015,7.460558053618102,4001731198,2.5,33.0,1,1,11,1,1,1,0,0,5,1,0,0,0,0,2,1,0,0,0,0,2,1,3,1,6,1,0,0,13,1,44
"Grabenweg 15, 8484 Weisslingen",2750,47.42847146408095,8.769254069734341,4001671881,2.5,33.0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,23,1,27
"Asylstrasse 14, 8953 Dietikon",2750,47.40164435,8.405244750457825,4001213834,2.5,33.0,7,1,19,1,4,1,1,1,17,1,0,0,0,0,0,0,0,0,0,0,3,1,5,1,5,1,0,0,17,1,78
"Nauengasse 14, 8427 Rorbas",2750,47.5326945,8.576552032786482,4002080956,2.5,33.0,1,1,6,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,1,21
6353 Weggis,2750,47.03189628530987,8.433771373374139,4002076708,2.5,33.0,2,1,6,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,10,1,23
"Zollstrasse 14, 8219 Trasadingen",2750,47.66409265,8.433804350000003,4002067496,2.5,33.0,2,1,4,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4,1,13
"Käsereistrasse 2 / 4 / 6, 8919 Rottenschwil",2750,47.31512446067656,8.363178536793532,4002065576,2.5,33.0,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
"Ilbachstrasse 14, 4228 Erschwil",2750,47.3750290204464,7.536895680856094,4002064525,2.5,33.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,6
"Rietstrasse 6, 8702 Zollikon",2750,47.3461825,8.576322881476464,4002062055,2.5,33.0,3,1,6,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,3,1,1,1,1,1,3,1,0,0,7,1,26
"Rue des Epinettes, 1227 Carouge",2750,46.18874213266147,6.137177738468982,4002059679,2.5,33.0,28,1,121,1,20,1,4,1,23,1,2,1,6,1,6,1,0,0,3,1,12,1,13,1,3,1,0,0,27,1,268
"Röschenzerstrasse, 4053 Basel",2750,47.54061313569169,7.587552213860931,4002059059,2.5,33.0,16,1,34,1,3,1,2,1,5,1,2,1,2,1,2,1,0,0,0,0,7,1,6,1,5,1,0,0,6,1,90
"Untere Grundgasse 11, 9500 Wil SG",2750,47.471886989331885,9.057533759287113,4002055240,2.5,33.0,4,1,27,1,4,1,1,1,1,1,3,1,0,0,3,1,0,0,0,0,3,1,7,1,5,1,0,0,1,1,59
"Untere Grundgasse 11, 9500 Wil SG",3300,47.471886989331885,9.057533759287113,4002055239,4.5,170.0,4,1,27,1,4,1,1,1,1,1,3,1,0,0,3,1,0,0,0,0,3,1,7,1,5,1,0,0,1,1,59
"Böndlerstrasse 54, 8802 Kilchberg ZH",3300,47.31596745,8.54880834858756,4002049676,4.5,170.0,2,1,14,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,2,1,2,1,2,1,2,1,0,0,3,1,30
"Grossfeldstrasse 7, 6010 Kriens",3300,47.0332402,8.283929931561875,4002045481,4.5,170.0,6,1,17,1,2,1,0,0,6,1,0,0,1,1,1,1,0,0,0,0,4,1,3,1,4,1,0,0,52,1,96
"Gmeindrütistrasse 11, 8630 Rüti ZH",3300,47.26159345881681,8.867779674601445,4002028503,4.5,170.0,4,1,17,1,1,1,0,0,9,1,1,1,0,0,0,0,0,0,1,1,1,1,3,1,4,1,1,1,22,1,64
"Chemin de Chamblandes 55, 1009 Pully",3300,46.5081511,6.644447980223605,4001984340,4.5,170.0,2,1,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,10
"Sonneggstr. 41, 8006 Zürich",3300,47.380462,8.545837108916057,4001983884,4.5,170.0,20,1,63,1,2,1,1,1,17,1,10,1,1,1,12,1,0,0,0,0,5,1,2,1,7,1,0,0,4,1,144
"Weiherweg 38, 4054 Basel",3300,47.5537867,7.5761886,4001979979,4.5,170.0,19,1,46,1,8,1,2,1,10,1,2,1,1,1,4,1,1,1,2,1,12,1,5,1,7,1,0,0,2,1,121
"Rotwandstrasse 66, 8004 Zürich",3300,47.3758876,8.5294158,4001950379,4.5,170.0,42,1,190,1,95,1,21,1,64,1,5,1,0,0,4,1,0,0,3,1,12,1,3,1,13,1,0,0,17,1,469
"Grabenweg 17, 8484 Weisslingen",3300,47.4296268,8.76936175209196,4001840960,4.5,170.0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,25,1,31
1012 Lausanne,3300,46.52532023878703,6.654456749929478,4001508481,4.5,170.0,3,1,12,1,0,0,0,0,3,1,2,1,0,0,1,1,0,0,0,0,4,1,2,1,1,1,0,0,7,1,35
"Motorenstrasse, 8005 Zürich",3300,47.38434396427632,8.528439931722138,4002078840,4.5,170.0,24,1,103,1,55,1,11,1,34,1,8,1,1,1,1,1,0,0,2,1,5,1,1,1,11,1,0,0,3,1,259
"St. Alban-Anlage 58, 4052 Basel",3300,47.5525328,7.6023191,4002078647,4.5,170.0,7,1,31,1,2,1,1,1,7,1,1,1,2,1,4,1,0,0,4,1,6,1,14,1,7,1,0,0,17,1,103
"Höhenweg 61, 8965 Berikon",3300,47.35645731665608,8.364022193915872,4002075286,4.5,170.0,4,1,6,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,2,1,2,1,2,1,0,0,2,1,21
"Avenue des Alpes 5, 1006 Lausanne",3300,46.51475925,6.638347572447524,4002073492,4.5,170.0,6,1,36,1,7,1,0,0,3,1,0,0,0,0,1,1,0,0,0,0,5,1,2,1,2,1,0,0,7,1,69
